Nombre de la Institución Educativa|Provincia|Cantón|Sostenimiento|Jornada|Número de estudiantes|Número de docentes
BATALLON CAYAMBE NÚMERO 3|EL ORO|ARENILLAS|Fiscal|Matutina|163|13
CORAZON DE JESUS|EL ORO|ARENILLAS|Particular|Vespertina|33|11
ONCE DE NOVIEMBRE|EL ORO|ARENILLAS|Fiscal|Matutina|325|19
ASAAD BUCARAM|EL ORO|ARENILLAS|Fiscal|Nocturna|118|20
BIMOT 1  CONSTITUCIÓN|EL ORO|ARENILLAS|Fiscal|Nocturna|18|1
KLEBER TINOCO PINEDA|EL ORO|ARENILLAS|Fiscal|Matutina y Vespertina|66|9
LAS BRISAS|EL ORO|ARENILLAS|Fiscal|Matutina|96|4
CENTRO DE FORMACION ARTESANAL ARENILLAS|EL ORO|ARENILLAS|Fiscal|Nocturna|301|17
25 DE DICIEMBRE|EL ORO|ARENILLAS|Fiscal|Matutina|54|3
AMAZONAS|EL ORO|ARENILLAS|Fiscal|Matutina|121|5
CIUDAD DE ARENILLAS|EL ORO|ARENILLAS|Fiscal|Matutina|465|15
ALBERT EINSTEIN|EL ORO|ARENILLAS|Particular|Matutina|138|14
SANTO TOMAS DE AQUINO|EL ORO|ARENILLAS|Particular|Matutina y Vespertina|229|20
9 DE OCTUBRE|EL ORO|ARENILLAS|Fiscal|Matutina|23|2
ARENILLAS|EL ORO|ARENILLAS|Fiscal|Matutina y Nocturna|1396|55
BATALLON DE INFANTERIA N 38 AMBATO|EL ORO|ARENILLAS|Fiscal|Matutina|21|1
18 DE NOVIEMBRE|EL ORO|ARENILLAS|Fiscal|Matutina|158|11
JUAN MONTALVO|EL ORO|ARENILLAS|Fiscal|Matutina|407|20
CIUDAD DE QUITO|EL ORO|ARENILLAS|Fiscal|Matutina|336|18
ARISTIDES CORDOVA VILLACIS|EL ORO|ARENILLAS|Fiscal|Matutina|41|5
UNION Y  PROGRESO|EL ORO|ARENILLAS|Fiscal|Matutina|4|1
CRNL FELIX HUMBERTO PINEDA CORREA|EL ORO|ARENILLAS|Fiscal|Matutina|109|6
MONS LEONIDAS PROAÑO VILLALBA|EL ORO|ARENILLAS|Fiscal|Matutina|151|6
NAPOLEON PALADINES CARREÑO|EL ORO|ARENILLAS|Fiscal|Matutina|45|5
MAYOR HECTOR ESPINOZA|EL ORO|ARENILLAS|Fiscal|Matutina|47|5
CONSTITUCION|EL ORO|ARENILLAS|Fiscal|Matutina|141|8
ING. RAFAEL GUERRERO|EL ORO|ARENILLAS|Fiscal|Matutina|12|2
DR CAMILO GALLEGOS DOMINGUEZ|EL ORO|ARENILLAS|Fiscal|Matutina y Vespertina|613|30
TAHUIN CHICO|EL ORO|ARENILLAS|Fiscal|Vespertina|11|1
5 DE JUNIO|EL ORO|ARENILLAS|Fiscal|Matutina|14|2
RUMIÑAHUI|EL ORO|ARENILLAS|Fiscal|Matutina|120|12
SOLDADO JOSE DIAZ|EL ORO|ARENILLAS|Fiscal|Matutina|187|10
SIMON BOLIVAR|EL ORO|ARENILLAS|Fiscal|Matutina|46|3
JOSE MARIA MEJIA LEQUERICA|EL ORO|ARENILLAS|Fiscal|Matutina|315|18
MAYOR GALO MOLINA|EL ORO|ARENILLAS|Fiscal|Matutina|63|4
MAYOR  MANUEL ANTONIO ROSERO|EL ORO|ARENILLAS|Fiscal|Matutina|46|3
ZOILA ESPERANZA CRESPO|EL ORO|ARENILLAS|Fiscal|Matutina|29|4
JESUS MARIA YEPEZ|EL ORO|ARENILLAS|Fiscal|Matutina|48|5
TENIENTE HUGO ORTIZ|EL ORO|ARENILLAS|Fiscal|Matutina|11|1
VICENTE ROCAFUERTE|EL ORO|ARENILLAS|Fiscal|Matutina|14|1
PROF  ROBERTO CORREA SANCHEZ|EL ORO|ARENILLAS|Fiscal|Matutina|7|1
CORDILLERA DEL CONDOR|EL ORO|ARENILLAS|Fiscal|Matutina|8|1
9 DE OCTUBRE|EL ORO|ARENILLAS|Fiscal|Matutina|15|2
PALMALES|EL ORO|ARENILLAS|Fiscal|Matutina|15|2
CABO LUIS MINACHO PADILLA|EL ORO|ARENILLAS|Fiscal|Matutina|11|2
RIO ARENILLAS|EL ORO|ARENILLAS|Fiscal|Matutina|21|3
VICENTE ANDA AGUIRRE|EL ORO|ARENILLAS|Fiscal|Matutina|8|1
JOSE MIGUEL ALVAREZ|EL ORO|ARENILLAS|Fiscal|Matutina|7|1
24 DE MAYO|EL ORO|ARENILLAS|Fiscal|Matutina|24|3
ABDON CALDERON MUÑOZ|EL ORO|ARENILLAS|Fiscal|Matutina|215|17
ELOY ALFARO|EL ORO|ARENILLAS|Fiscal|Matutina|24|3
CARLOS VELASCO DURAN|EL ORO|ARENILLAS|Fiscal|Matutina|12|1
REMIGIO CRESPO TORAL|EL ORO|ARENILLAS|Fiscal|Matutina|6|1
24 DE AGOSTO|EL ORO|ARENILLAS|Fiscal|Matutina|9|1
AURELIO SOLIS|EL ORO|ARENILLAS|Fiscal|Matutina|14|1
JHON CESAR CHERREZ|EL ORO|ARENILLAS|Fiscal|Matutina|10|1
SOC LEONOR ROLDAN DE TINOCO|EL ORO|ARENILLAS|Fiscal|Matutina|17|1
MARIA PIEDAD CASTILLO DE LEVI|EL ORO|ARENILLAS|Fiscal|Matutina|526|23
PRIMERO DE JUNIO|EL ORO|ARENILLAS|Fiscal|Matutina|86|5
LAS AMERICAS|EL ORO|ARENILLAS|Fiscal|Matutina|39|2
EUGENIO  ESPEJO     -  EXTENSIÓN|EL ORO|ARENILLAS|Fiscal|Matutina|273|10
CIUDADELA LA LIBERTAD|EL ORO|ARENILLAS|Fiscal|Nocturna|11|1
REPUBLICA DE ARGENTINA|EL ORO|ATAHUALPA|Fiscal|Matutina|31|4
JUAN LEON MERA|EL ORO|ATAHUALPA|Fiscal|Matutina|106|11
DAVID GUZMAN|EL ORO|ATAHUALPA|Fiscal|Matutina|7|3
13 DE JULIO|EL ORO|ATAHUALPA|Fiscal|Matutina|171|12
GASTON FIGUEIRA|EL ORO|ATAHUALPA|Fiscal|Matutina|5|1
CELIA LUCIA PONTON MATAMOROS|EL ORO|ATAHUALPA|Fiscal|Matutina|24|3
DIEZ DE AGOSTO|EL ORO|ATAHUALPA|Fiscal|Matutina|41|5
AMAZONAS|EL ORO|ATAHUALPA|Fiscal|Matutina|11|2
MERCEDES  MOROCHO|EL ORO|ATAHUALPA|Fiscal|Matutina|16|3
AYAPAMBA|EL ORO|ATAHUALPA|Fiscal|Matutina|111|13
REPUBLICA DE MEXICO|EL ORO|ATAHUALPA|Fiscal|Matutina|147|18
BLANCA LIDIA ORDOÑEZ VASQUEZ|EL ORO|ATAHUALPA|Fiscal|Matutina|18|3
ATAHUALPA|EL ORO|ATAHUALPA|Fiscal|Matutina|13|2
EL ORO|EL ORO|ATAHUALPA|Fiscal|Matutina|17|3
CARLOS REYES ANDRADE|EL ORO|ATAHUALPA|Fiscal|Matutina|27|4
ODALIA  ARÁUZ|EL ORO|ATAHUALPA|Fiscal|Matutina|20|3
ANGEL TINOCO RUIZ|EL ORO|ATAHUALPA|Fiscal|Matutina|271|27
SOR AMALIA URIGUEN ESPINOZA|EL ORO|ATAHUALPA|Fiscal|Matutina|18|3
CENTRO CRISJAY|EL ORO|ATAHUALPA|Fiscal|Matutina y Vespertina|10|1
6 DE ABRIL|EL ORO|ATAHUALPA|Fiscal|Matutina|108|7
25 DE ABRIL|EL ORO|ATAHUALPA|Fiscal|Matutina|12|3
REPUBLICA DE VENEZUELA|EL ORO|ATAHUALPA|Fiscal|Matutina|9|1
GRAL. VICENTE ANDA AGUIRRE|EL ORO|ATAHUALPA|Fiscal|Matutina|9|2
BUZA|EL ORO|ATAHUALPA|Fiscal|Vespertina y Nocturna|9|1
SAN JOSE|EL ORO|ATAHUALPA|Fiscal|Matutina y Vespertina|10|1
MILAGRO|EL ORO|ATAHUALPA|Fiscal|Matutina y Vespertina|12|1
TARAPAL|EL ORO|ATAHUALPA|Fiscal|Matutina y Vespertina|10|0
APARTADERO|EL ORO|ATAHUALPA|Fiscal|Vespertina y Nocturna|14|1
PIO JARAMILLO ALVARADO|EL ORO|BALSAS|Fiscal|Matutina|11|1
SAN FRANCISCO DE ASIS|EL ORO|BALSAS|Particular|Matutina y Vespertina|239|17
CENTRO  ARTESANAL  NAPO PASTAZA|EL ORO|BALSAS|Fiscal|Nocturna|98|7
LUZ VICTORIA RIVERA DE MORA|EL ORO|BALSAS|Fiscal|Matutina y Vespertina|616|27
GENERAL  VICENTE ANDA AGUIRRE|EL ORO|BALSAS|Fiscal|Matutina y Nocturna|858|51
PADRE JUAN DE VELASCO|EL ORO|BALSAS|Fiscal|Matutina|16|1
PROVINCIA NAPO PASTAZA|EL ORO|BALSAS|Fiscal|Matutina|339|18
JACINTO EUSEBIO ROMERO APOLO|EL ORO|BALSAS|Fiscal|Matutina|12|1
CIUDAD DE BALSAS|EL ORO|BALSAS|Fiscal|Matutina|10|1
VIRGILIO LOAYZA AÑAZCO|EL ORO|BALSAS|Fiscal|Matutina|8|1
PROFESOR LEOVIGILDO LOAYZA LOAYZA|EL ORO|BALSAS|Fiscal|Matutina|27|3
RED EDUCATIVA DE BELLAMARIA|EL ORO|BALSAS|Fiscal|Matutina|284|19
DUMARÍ|EL ORO|CHILLA|Fiscal|Vespertina|11|1
27 DE NOVIEMBRE|EL ORO|CHILLA|Fiscal|Matutina|3|1
DR  EDMUNDO CARBO|EL ORO|CHILLA|Fiscal|Matutina|27|1
DEFENSORES DEL CENEPA|EL ORO|CHILLA|Fiscal|Matutina|4|1
VICTOR MANUEL NAGUA GUANUCHE|EL ORO|CHILLA|Fiscal|Matutina|4|1
21 DE JULIO|EL ORO|CHILLA|Fiscal|Matutina|8|1
ALFONSO OTILIO YUPANGUI NAGUA|EL ORO|CHILLA|Fiscal|Matutina|11|1
25 DE JULIO|EL ORO|CHILLA|Fiscal|Matutina|17|1
NÉSTOR ALEJANDRO CAIMINAGUA PACHECO|EL ORO|CHILLA|Fiscal|Matutina|4|1
MANUEL HORTENCIO NAGUA|EL ORO|CHILLA|Fiscal|Matutina|7|1
LAURO DAVILA ECHEVERRIA|EL ORO|CHILLA|Fiscal|Matutina|35|2
SHIQUIL|EL ORO|CHILLA|Fiscal|Vespertina|15|0
SHIGUIL|EL ORO|CHILLA|Fiscomisional|Vespertina|20|1
ANGEL BALDOMERO NAGUA|EL ORO|CHILLA|Fiscal|Matutina|4|1
LEONARDO ARAUJO MENDOZA|EL ORO|CHILLA|Fiscal|Matutina|20|2
CENTRO ARTESANAL  CHILLA|EL ORO|CHILLA|Fiscal|Vespertina y Nocturna|15|0
JORGE ICAZA CORONEL|EL ORO|CHILLA|Fiscal|Matutina|30|4
26 DE SEPTIEMBRE|EL ORO|CHILLA|Fiscal|Matutina|5|1
BELISARIO FAJARDO|EL ORO|CHILLA|Fiscal|Matutina|29|5
JORGE CHILES CORREA|EL ORO|CHILLA|Fiscal|Matutina|10|3
CIUDAD DE CHILLA|EL ORO|CHILLA|Fiscal|Matutina|2|1
LA INMACULADA|EL ORO|CHILLA|Fiscal|Matutina|120|9
MEDARDO ANGEL SILVA|EL ORO|CHILLA|Fiscal|Matutina|10|2
8 DE SEPTIEMBRE|EL ORO|CHILLA|Fiscal|Vespertina|20|1
EMILIO  ROSALINO ASANZA ROMERO|EL ORO|CHILLA|Fiscal|Matutina|7|1
TERESA ARCAYA GERMAN|EL ORO|CHILLA|Fiscal|Matutina|3|1
ANGEL MARIA COJITAMBO MACAS|EL ORO|CHILLA|Fiscal|Matutina|60|7
CHILLA|EL ORO|CHILLA|Fiscal|Matutina|137|16
VICENTE  MAYA|EL ORO|CHILLA|Fiscal|Matutina|87|2
SIN NOMBRE|EL ORO|CHILLA|Fiscal|Matutina|5|1
ZORAIDA MORA DE FRANCO|EL ORO|EL GUABO|Fiscal|Matutina|74|5
CHARBEL JOSE FADUL SERRANO|EL ORO|EL GUABO|Fiscal|Matutina|99|10
SERVIO SERRANO CORREA|EL ORO|EL GUABO|Fiscal|Matutina|130|7
GUADALUPE FERNANDEZ DE CASTRO|EL ORO|EL GUABO|Fiscal|Matutina|395|16
JERUSALEN|EL ORO|EL GUABO|Fiscal|Nocturna|24|1
5 DE ABRIL|EL ORO|EL GUABO|Fiscal|Matutina|61|5
JOSE MARIA MORA GONZALEZ|EL ORO|EL GUABO|Particular|Matutina|438|20
GENERAL MANUEL SERRANO RENDA|EL ORO|EL GUABO|Fiscal|Matutina|835|26
INSTITUTO  7 DE SEPTIEMBRE|EL ORO|EL GUABO|Particular|Matutina|43|12
JORGE ALEX SERRANO AGUILAR|EL ORO|EL GUABO|Fiscal|Vespertina|753|26
REPUBLICA DE COSTA RICA|EL ORO|EL GUABO|Fiscal|Matutina|25|1
LA DOLOROSA|EL ORO|EL GUABO|Particular|Matutina|59|9
VIRGEN MARIA AUXILIADORA|EL ORO|EL GUABO|Particular|Matutina|26|5
SEGUNDO COELLO FIGUEROA|EL ORO|EL GUABO|Fiscal|Matutina|132|8
DR JOSE MARIA VELASCO IBARRA|EL ORO|EL GUABO|Fiscal|Matutina|1456|56
REPUBLICA DE FRANCIA|EL ORO|EL GUABO|Fiscal|Matutina|118|7
LATINOAMERICANO|EL ORO|EL GUABO|Particular|Matutina|82|9
VICTORIA CAÑARTE DE ORELLANA|EL ORO|EL GUABO|Fiscal|Matutina|66|7
JOSE LUIS MOLESTINA|EL ORO|EL GUABO|Fiscal|Matutina|44|5
OSCAR EFREN REYES|EL ORO|EL GUABO|Fiscal|Matutina y Vespertina|567|20
SAN ANTONIO DE PADUA|EL ORO|EL GUABO|Fiscal|Matutina|49|7
BOLIVIA  SERRANO MURILLO|EL ORO|EL GUABO|Fiscal|Matutina|686|26
ESPIRITU SANTO|EL ORO|EL GUABO|Particular|Matutina|118|13
LUCERITO|EL ORO|EL GUABO|Particular|Matutina|99|8
ATI II PILLAHUAZO|EL ORO|EL GUABO|Particular|Matutina y Vespertina|192|17
DARWIN SERRANO CORREA|EL ORO|EL GUABO|Fiscal|Matutina|322|13
PROVINCIA DE  EL  ORO|EL ORO|EL GUABO|Fiscal|Matutina|145|10
INSTITUTO ARTESANAL EL GUABO|EL ORO|EL GUABO|Fiscal|Vespertina|256|12
EL GUABO|EL ORO|EL GUABO|Fiscal|Vespertina y Nocturna|345|18
DR JOSE MIGUEL GARCIA MORENO|EL ORO|EL GUABO|Fiscal|Matutina|663|31
JUAN MONTALVO MEDINA CALDERON|EL ORO|EL GUABO|Fiscal|Matutina|81|7
MARIA DEL CARMEN|EL ORO|EL GUABO|Particular|Matutina|96|7
JOSE MORA QUIÑONEZ|EL ORO|EL GUABO|Particular|Matutina|226|19
GRAL JOSE MARIA CORDOVA|EL ORO|EL GUABO|Fiscal|Matutina|79|6
ZOILA UGARTE DE LANDIVAR|EL ORO|EL GUABO|Fiscal|Matutina y Vespertina|590|23
LUIS AGUILAR MARIN|EL ORO|EL GUABO|Fiscal|Matutina|109|7
ZOILA UGARTE DE LANDIVAR|EL ORO|EL GUABO|Fiscal|Nocturna|60|2
MILTON BORJA RAMIREZ|EL ORO|EL GUABO|Fiscal|Matutina|130|7
FILOMENA CORREA DE SERRANO|EL ORO|EL GUABO|Fiscal|Matutina|76|6
CENTRO DE EDUCACION POPULAR 10  DE AGOSTO|EL ORO|EL GUABO|Fiscal|Vespertina y Nocturna|23|1
OVIDIO DECROLY|EL ORO|EL GUABO|Fiscal|Matutina|18|4
6  DE AGOSTO|EL ORO|EL GUABO|Fiscal|Vespertina y Nocturna|637|31
LUIS FELIPE BORJA|EL ORO|EL GUABO|Fiscal|Matutina|168|10
OTILIA MARIA SERRANO PAREJA|EL ORO|EL GUABO|Fiscal|Matutina|115|6
ENRIQUE RUILOVA|EL ORO|EL GUABO|Fiscal|Matutina|24|4
PROVINCIA DE LOS RIOS|EL ORO|EL GUABO|Fiscal|Matutina y Vespertina|827|29
ANTONIA PROAÑO DE SANCHEZ|EL ORO|EL GUABO|Particular|Matutina|62|8
CORONEL JOSE MADERO VARGAS|EL ORO|EL GUABO|Fiscal|Matutina|131|7
15 DE ABRIL|EL ORO|EL GUABO|Fiscal|Matutina|20|1
GRAN COLOMBIA|EL ORO|EL GUABO|Fiscal|Matutina|235|18
CARLOS NAPOLEON MERA|EL ORO|EL GUABO|Fiscal|Matutina|77|2
DR. ROMULO CEDILLO ZEA|EL ORO|EL GUABO|Fiscal|Matutina|37|4
CORAZON DE MARIA|EL ORO|EL GUABO|Particular|Matutina|14|2
REPUBLICA DE ESPAÑA|EL ORO|EL GUABO|Fiscal|Matutina|13|3
JAMBELI|EL ORO|EL GUABO|Fiscal|Matutina|331|19
JOSE HOMERO SERRANO RAMIREZ|EL ORO|EL GUABO|Fiscal|Matutina|40|4
MARGARITA BONILLA DE MURO|EL ORO|EL GUABO|Fiscal|Matutina|15|1
POMPEYO FERNANDEZ MARQUEZ|EL ORO|EL GUABO|Fiscal|Matutina|50|7
EL PARAISO|EL ORO|EL GUABO|Fiscal|Matutina|32|3
14 DE JULIO|EL ORO|EL GUABO|Fiscal|Matutina|31|3
CIUDAD DE MACHALA|EL ORO|EL GUABO|Fiscal|Matutina|81|6
WILSON BETANCOURT|EL ORO|EL GUABO|Fiscal|Matutina|120|7
TENIENTE GUSTAVO LEDESMA|EL ORO|EL GUABO|Fiscal|Matutina|34|5
JUAN SEMIGLIA|EL ORO|EL GUABO|Fiscal|Matutina|142|12
30 DE AGOSTO|EL ORO|EL GUABO|Fiscal|Matutina|13|1
ANGEL RIZZO SBRECIA|EL ORO|EL GUABO|Fiscal|Matutina|109|7
MANUEL ISAAC ENCALADA ZUÑIGA|EL ORO|EL GUABO|Fiscal|Matutina|286|31
JUAN PABLO II|EL ORO|EL GUABO|Fiscal|Matutina|6|1
DR EUGENIO ESPEJO  35|EL ORO|EL GUABO|Fiscal|Matutina|108|8
TULA PEREZ DE VALENCIA|EL ORO|EL GUABO|Fiscal|Matutina y Vespertina|266|14
DR CARLOS CORNEJO ORBE|EL ORO|EL GUABO|Fiscal|Matutina|254|14
VICENTE  MAYA|EL ORO|EL GUABO|Fiscal|Matutina|16|1
VICENTE  MAYA  2|EL ORO|EL GUABO|Fiscal|Matutina|318|10
JOSE MAYON|EL ORO|HUAQUILLAS|Fiscal|Vespertina|28|1
MAXIMILIANO PEÑALOZA CASTRO|EL ORO|HUAQUILLAS|Fiscal|Matutina|205|9
JOSE ANSELMO GARCIA CAJAMARCA|EL ORO|HUAQUILLAS|Fiscal|Matutina|450|20
ANGEL POLIVIO MARQUEZ PACHECO|EL ORO|HUAQUILLAS|Fiscal|Matutina|605|22
16 DE JULIO|EL ORO|HUAQUILLAS|Fiscal|Matutina|206|10
JUAN MONTALVO|EL ORO|HUAQUILLAS|Particular|Matutina|124|17
PRIMERO DE OCTUBRE|EL ORO|HUAQUILLAS|Fiscal|Vespertina|28|1
ALEJANDRO CAMPOVERDE ANDRADE|EL ORO|HUAQUILLAS|Fiscal|Nocturna|36|4
JAIME HURTADO GONZALEZ|EL ORO|HUAQUILLAS|Fiscal|Matutina|212|8
PROF NANCY ALBAN CASTRO|EL ORO|HUAQUILLAS|Fiscal|Matutina|100|5
PRESIDENTE JAIME ROLDOS AGUILERA|EL ORO|HUAQUILLAS|Fiscal|Matutina|414|20
DON BOSCO|EL ORO|HUAQUILLAS|Particular|Matutina|272|22
ESPIRITU DE SABIDURIA|EL ORO|HUAQUILLAS|Particular|Matutina|154|24
PRINCIPE DE PAZ|EL ORO|HUAQUILLAS|Particular|Matutina y Vespertina|153|11
SEIS DE OCTUBRE|EL ORO|HUAQUILLAS|Fiscal|Matutina y Nocturna|747|43
MARIA LEONOR MINUCHE ARMIJOS|EL ORO|HUAQUILLAS|Fiscal|Matutina|47|6
MANUEL REINALDO BENALCAZAR CASTILLO|EL ORO|HUAQUILLAS|Fiscal|Matutina|141|9
REMIGIO GEO GOMEZ GUERRERO|EL ORO|HUAQUILLAS|Fiscal|Matutina|1677|86
ERNESTINA VALAREZO MOSQUERA|EL ORO|HUAQUILLAS|Fiscal|Matutina|149|7
CLOTARIO IÑIGUEZ LUZURIAGA|EL ORO|HUAQUILLAS|Fiscal|Matutina|346|13
UNIDAD EDUC  DEL MILENIO  LIC OLGA CAMPOVERDE C|EL ORO|HUAQUILLAS|Fiscal|Matutina|736|41
VICENTE  MAYA    -  EXTENSIÓN|EL ORO|HUAQUILLAS|Fiscal|Matutina|83|4
HUAQUILLAS|EL ORO|HUAQUILLAS|Fiscal|Vespertina y Nocturna|1531|88
PRIMERO DE OCTUBRE|EL ORO|HUAQUILLAS|Fiscal|Matutina|557|22
LICEO EDUCATIVO JUAN XXIII|EL ORO|HUAQUILLAS|Fiscal|Matutina|641|19
MONSEÑOR LEONIDAS PROAÑO VILLALBA|EL ORO|HUAQUILLAS|Municipal|Matutina|837|40
MATILDE HIDALGO DE PROCEL|EL ORO|HUAQUILLAS|Fiscal|Matutina|331|18
CLEMENCIA GRANDA ROMERO|EL ORO|HUAQUILLAS|Fiscal|Matutina|61|6
VICENTE PUERTAS CITELLY|EL ORO|HUAQUILLAS|Fiscal|Matutina|160|7
PROF HELENA CRIOLLO RETTO|EL ORO|HUAQUILLAS|Fiscal|Matutina|382|15
CENTRO DE FORMACION ARTESANAL FISCAL HUAQUILLAS|EL ORO|HUAQUILLAS|Fiscal|Nocturna|203|13
CAP CESAR EDMUNDO CHIRIBOGA GONZALEZ|EL ORO|HUAQUILLAS|Fiscal|Matutina|714|23
CIUDAD DE MACARA|EL ORO|HUAQUILLAS|Particular|Matutina|37|7
INSTITUTO DE EDUCACION ESPECIAL HUAQUILLAS|EL ORO|HUAQUILLAS|Fiscal|Matutina|80|3
RODRIGO CHAVEZ GONZALEZ|EL ORO|HUAQUILLAS|Fiscal|Matutina|357|18
FROILAN SUQUINAGUA BERMEO|EL ORO|HUAQUILLAS|Fiscal|Matutina|145|8
NIÑOS DE BELEN|EL ORO|HUAQUILLAS|Particular|Matutina|86|10
CIUDAD DE HUAQUILLAS   RED EDUCATIVA H1|EL ORO|HUAQUILLAS|Fiscal|Matutina|868|42
MARCO ARTURO PEREIRA LARREA|EL ORO|HUAQUILLAS|Fiscal|Nocturna|12|1
SARA SERRANO DE MARIDUEÑA|EL ORO|HUAQUILLAS|Fiscal|Vespertina|422|24
LCDO ALONSO CRISTOBAL CAMPOVERDE CAMPOVERDE|EL ORO|HUAQUILLAS|Fiscal|Matutina|118|9
GRAL VICENTE ANDA AGUIRRE|EL ORO|HUAQUILLAS|Fiscal|Matutina|348|19
REPUBLICA DEL ECUADOR NO 52|EL ORO|HUAQUILLAS|Fiscal|Matutina|534|23
JACINTA VALDIVIEZO BANEGAS|EL ORO|HUAQUILLAS|Fiscal|Matutina|515|22
SEMILLITAS DE SION|EL ORO|HUAQUILLAS|Particular|Matutina|27|0
DR. EUGENIO ESPEJO|EL ORO|HUAQUILLAS|Particular|Vespertina|26|0
JOSÉ MARÍA VELAZ|EL ORO|HUAQUILLAS|Fiscomisional|Matutina|146|7
VALLE HERMOSO|EL ORO|LAS LAJAS|Fiscal|Vespertina|13|1
CASA COMUNAL PARROQUIA LA LIBERTAD|EL ORO|LAS LAJAS|Fiscal|Nocturna|12|1
HECTOR LARA ZAMBRANO|EL ORO|LAS LAJAS|Fiscal|Matutina|6|1
NICOLAS VALDANO RAFFO|EL ORO|LAS LAJAS|Fiscal|Matutina|38|4
EUGENIO ESPEJO|EL ORO|LAS LAJAS|Fiscal|Matutina|291|21
MAYOR  ALFONSO NEGRETE|EL ORO|LAS LAJAS|Fiscal|Matutina|9|1
CIUDAD DE LOJA|EL ORO|LAS LAJAS|Fiscal|Matutina|198|8
LUIS FELIPE SANCHEZ|EL ORO|LAS LAJAS|Fiscal|Matutina|7|1
3 DE NOVIEMBRE|EL ORO|LAS LAJAS|Fiscal|Matutina|6|1
HONORATO VASQUEZ|EL ORO|LAS LAJAS|Fiscal|Matutina|3|1
FRANCISCO ARCELLES TALLEDO|EL ORO|LAS LAJAS|Fiscal|Matutina|4|1
PROVINCIA DE TUNGURAHUA|EL ORO|LAS LAJAS|Fiscal|Matutina|27|3
TENIENTE RODRIGUEZ|EL ORO|LAS LAJAS|Fiscal|Matutina|2|1
DOLORES CARREÑO DE MORA|EL ORO|LAS LAJAS|Fiscal|Matutina|25|2
DR. LAUTARO CASTILLO RAMIREZ|EL ORO|LAS LAJAS|Fiscal|Matutina|6|1
BATALLON MONTECRISTI|EL ORO|LAS LAJAS|Fiscal|Matutina|4|1
JUAN LEON MERA|EL ORO|LAS LAJAS|Fiscal|Matutina|151|14
LA VICTORIA|EL ORO|LAS LAJAS|Fiscal|Vespertina|14|1
DR. JOSE MARIA VELAZCO IBARRA|EL ORO|LAS LAJAS|Fiscal|Matutina|25|2
PROVINCIA DE ESMERALDAS|EL ORO|LAS LAJAS|Fiscal|Matutina|10|1
JORGE YEPEZ CARRANZA|EL ORO|LAS LAJAS|Fiscal|Matutina|21|2
TENIENTE GUSTAVO LEDESMA  VASQUEZ|EL ORO|LAS LAJAS|Fiscal|Matutina|10|1
10 DE AGOSTO|EL ORO|LAS LAJAS|Fiscal|Matutina|3|1
RED  PLATANILLO|EL ORO|LAS LAJAS|Fiscal|Matutina|255|18
VICENTE  MAYA|EL ORO|LAS LAJAS|Fiscal|Matutina|98|5
VOLUNTAD DE DIOS|EL ORO|MACHALA|Fiscal|Vespertina|30|1
LUZ DE AMERICA|EL ORO|MACHALA|Fiscal|Vespertina|30|1
LOS ANGELES|EL ORO|MACHALA|Fiscal|Nocturna|30|1
NUEVO PILO|EL ORO|MACHALA|Fiscal|Vespertina y Nocturna|25|1
MANUELA CAÑIZARES|EL ORO|MACHALA|Fiscal|Matutina y Vespertina|196|14
MI LINDO ECUADOR|EL ORO|MACHALA|Particular|Matutina|82|9
JESUS DEL GRAN PODER|EL ORO|MACHALA|Particular|Matutina|43|9
AMERICA QUALITY SCHOOL|EL ORO|MACHALA|Particular|Matutina|18|4
MANUEL CENTENO GARZON|EL ORO|MACHALA|Fiscal|Matutina|96|7
OSWALDO GUAYASAMIN|EL ORO|MACHALA|Particular|Matutina|152|15
LOS PASTORCITOS|EL ORO|MACHALA|Particular|Matutina|36|1
COMBATE DE PILO|EL ORO|MACHALA|Fiscal|Matutina|440|21
SAN CARLOS|EL ORO|MACHALA|Particular|Matutina|55|7
VICENTE MAYA|EL ORO|MACHALA|Fiscal|Matutina|794|24
INNFA|EL ORO|MACHALA|Fiscal|Matutina|16|1
EMPRESARIAL ORENSE|EL ORO|MACHALA|Particular|Matutina|913|43
EL BOSQUE|EL ORO|MACHALA|Fiscal|Nocturna|24|1
9  DE OCTUBRE|EL ORO|MACHALA|Fiscal|Matutina|134|8
AUGUSTO MINUCHE GARRIDO|EL ORO|MACHALA|Fiscal|Matutina|325|15
ENRIQUE MORA SARES   RED EDUCATIVA  MA2|EL ORO|MACHALA|Fiscal|Matutina|479|28
RÓMULO VIDAL ZEA|EL ORO|MACHALA|Fiscal|Matutina|435|22
MATILDE HIDALGO DE PROCEL|EL ORO|MACHALA|Fiscal|Matutina|370|27
HEROES DE JAMBELI|EL ORO|MACHALA|Fiscal|Matutina|354|16
LOS PANCHITOS|EL ORO|MACHALA|Fiscal|Matutina|35|2
JAIME ROLDOS AGULERA|EL ORO|MACHALA|Fiscal|Matutina|602|22
CAMILO GALLEGOS|EL ORO|MACHALA|Fiscal|Matutina y Vespertina|525|20
REPÚBLICA DEL PERÚ|EL ORO|MACHALA|Fiscal|Matutina y Nocturna|906|38
HEROES DE JAMBELI|EL ORO|MACHALA|Fiscal|Vespertina|149|14
12 DE NOVIEMBRE|EL ORO|MACHALA|Fiscal|Matutina|280|10
